co,tz=0,v=1.5
time,co
1681517340,1.164e+02
1681517400,1.038e+02
1681517460,1.156e+02
1681517520,1.337e+02
1681517580,1.181e+02
1681517640,1.083e+02
1681517700,1.292e+02
1681517760,1.163e+02
1681517820,1.001e+02
1681517880,1.090e+02
1681517940,9.869e+01
1681518000,1.122e+02
1681518060,1.098e+02
1681518120,1.126e+02
1681518180,1.116e+02
1681518240,9.887e+01
1681518300,1.159e+02
1681518360,1.058e+02
1681518420,1.005e+02
1681518480,9.765e+01
1681518540,1.224e+02
1681518600,9.941e+01
1681518660,1.100e+02
1681518720,8.692e+01
1681518780,1.074e+02
1681518840,1.317e+02
1681518900,1.092e+02
1681518960,1.163e+02
1681519020,1.144e+02
1681519080,1.321e+02
1681519140,1.469e+02
1681519200,1.208e+02
1681519260,1.290e+02
1681519320,1.166e+02
1681519380,1.054e+02
1681519440,1.121e+02
1681519500,1.153e+02
1681519560,1.208e+02
1681519620,1.095e+02
1681519680,1.019e+02
1681519740,1.051e+02
1681519800,1.081e+02
1681519860,1.097e+02
1681519920,1.183e+02
1681519980,1.089e+02
1681520040,1.019e+02
1681520100,1.176e+02
1681520160,1.195e+02
1681520220,1.015e+02
1681520280,1.095e+02
1681520340,9.743e+01
1681520400,1.016e+02
1681520460,8.304e+01
1681520520,1.080e+02
1681520580,9.087e+01
1681520640,1.111e+02
1681520700,1.052e+02
1681520760,1.204e+02
1681520820,1.132e+02
1681520880,1.212e+02
1681520940,1.003e+02
1681521000,1.100e+02
1681521060,9.903e+01
1681521120,1.108e+02
1681521180,1.134e+02
1681521240,1.092e+02
1681521300,1.001e+02
1681521360,1.085e+02
1681521420,1.061e+02
1681521480,1.023e+02
1681521540,1.030e+02
1681521600,9.828e+01
1681521660,9.945e+01
1681521720,1.158e+02
1681521780,1.076e+02
1681521840,1.010e+02
1681521900,1.084e+02
1681521960,1.081e+02
1681522020,1.216e+02
1681522080,1.003e+02
1681522140,1.034e+02
1681522200,1.107e+02
1681522260,1.024e+02
1681522320,1.014e+02
1681522380,1.079e+02
1681522440,1.152e+02
1681522500,9.374e+01
1681522560,1.012e+02
1681522620,1.123e+02
1681522680,1.227e+02
1681522740,1.057e+02
1681522800,1.272e+02
1681522860,1.318e+02
1681522920,1.297e+02
1681522980,1.259e+02
1681523040,1.249e+02
1681523100,9.084e+01
1681523160,1.093e+02
1681523220,1.282e+02
1681523280,9.789e+01
1681523340,1.182e+02
1681523400,1.014e+02
1681523460,1.071e+02
1681523520,1.308e+02
1681523580,1.213e+02
1681523640,1.237e+02
1681523700,1.308e+02
1681523760,1.160e+02
1681523820,9.707e+01
1681523880,1.049e+02
1681523940,1.108e+02
1681524000,1.038e+02
1681524060,1.117e+02
1681524120,1.094e+02
1681524180,9.839e+01
1681524240,1.077e+02
1681524300,8.177e+01
1681524360,9.402e+01
1681524420,9.926e+01
1681524480,9.174e+01
1681524540,1.013e+02
1681524600,9.011e+01
1681524660,1.046e+02
1681524720,9.822e+01
1681524780,1.116e+02
1681524840,9.764e+01
1681524900,9.694e+01
1681524960,9.726e+01
1681525020,9.946e+01
1681525080,1.123e+02
1681525140,9.906e+01
1681525200,9.696e+01
1681525260,1.047e+02
1681525320,9.374e+01
1681525380,1.102e+02
1681525440,9.523e+01
1681525500,1.250e+02
1681525560,1.347e+02
1681525620,1.159e+02
1681525680,1.023e+02
1681525740,1.184e+02
1681525800,1.070e+02
1681525860,1.140e+02
1681525920,1.078e+02
1681525980,9.548e+01
1681526040,1.076e+02
1681526100,1.205e+02
1681526160,9.763e+01
1681526220,1.030e+02
1681526280,9.373e+01
1681526340,9.496e+01
1681526400,9.548e+01
1681526460,1.029e+02
1681526520,8.734e+01
1681526580,1.001e+02
1681526640,8.639e+01
1681526700,9.204e+01
1681526760,8.593e+01
1681526820,1.139e+02
1681526880,1.065e+02
1681526940,1.021e+02
1681527000,9.072e+01
1681527060,1.053e+02
1681527120,9.534e+01
1681527180,8.747e+01
1681527240,8.884e+01
1681527300,1.207e+02
1681527360,9.291e+01
1681527420,9.596e+01
1681527480,8.015e+01
1681527540,8.987e+01
1681527600,7.045e+01
1681527660,8.255e+01
1681527720,8.374e+01
1681527780,8.374e+01
1681527840,8.702e+01
1681527900,8.465e+01
1681527960,8.813e+01
1681528020,9.966e+01
1681528080,8.587e+01
1681528140,1.079e+02
1681528200,1.032e+02
1681528260,7.755e+01
1681528320,8.040e+01
1681528380,8.431e+01
1681528440,9.225e+01
1681528500,8.855e+01
1681528560,8.554e+01
1681528620,8.243e+01
1681528680,9.830e+01
1681528740,8.907e+01
1681528800,9.106e+01
1681528860,8.223e+01
1681528920,9.638e+01
1681528980,8.589e+01
1681529040,9.627e+01
1681529100,7.307e+01
1681529160,8.794e+01
1681529220,9.211e+01
1681529280,8.085e+01
1681529340,9.861e+01
1681529400,8.991e+01
1681529460,8.567e+01
1681529520,8.960e+01
1681529580,9.558e+01
1681529640,7.665e+01
1681529700,8.513e+01
1681529760,7.827e+01
1681529820,8.493e+01
1681529880,1.019e+02
1681529940,8.497e+01
1681530000,9.006e+01
1681530060,9.421e+01
1681530120,1.001e+02
1681530180,8.163e+01
1681530240,9.604e+01
1681530300,9.157e+01
1681530360,6.006e+01
1681530420,1.099e+02
1681530480,9.691e+01
1681530540,9.503e+01
1681530600,9.645e+01
1681530660,9.275e+01
1681530720,1.098e+02
1681530780,8.832e+01
1681530840,8.967e+01
1681530900,9.705e+01
1681530960,1.050e+02
1681531020,1.064e+02
1681531080,1.028e+02
1681531140,7.974e+01
1681531200,9.529e+01
1681531260,8.462e+01
1681531320,8.126e+01
1681531380,8.081e+01
1681531440,8.066e+01
1681531500,8.588e+01
1681531560,9.526e+01
1681531620,8.846e+01
1681531680,8.437e+01
1681531740,8.796e+01
1681531800,8.263e+01
1681531860,7.320e+01
1681531920,8.076e+01
1681531980,8.618e+01
1681532040,9.260e+01
1681532100,6.378e+01
1681532160,7.973e+01
1681532220,9.397e+01
1681532280,8.045e+01
1681532340,9.598e+01
1681532400,8.091e+01
1681532460,7.568e+01
1681532520,9.592e+01
1681532580,8.199e+01
1681532640,9.394e+01
1681532700,8.510e+01
1681532760,8.584e+01
1681532820,8.710e+01
1681532880,9.863e+01
1681532940,1.014e+02
1681533000,9.255e+01
1681533060,9.029e+01
1681533120,8.482e+01
1681533180,9.349e+01
1681533240,1.030e+02
1681533300,9.149e+01
1681533360,1.085e+02
1681533420,9.590e+01
1681533480,1.192e+02
1681533540,1.220e+02
1681533600,1.129e+02
1681533660,1.014e+02
1681533720,1.062e+02
