h2s,tz=0,v=1.5
time,h2s,so2
1681599660,2.000e-01,NaN
1681599720,2.000e-01,NaN
1681599780,2.000e-01,NaN
1681599840,2.000e-01,NaN
1681600020,NaN,2.000e-01
1681600080,NaN,2.000e-01
1681600140,NaN,2.000e-01
1681600200,NaN,2.000e-01
1681600260,NaN,2.000e-01
1681600320,NaN,2.000e-01
1681600380,NaN,2.000e-01
1681600440,NaN,2.000e-01
1681600680,2.000e-01,NaN
1681600740,2.000e-01,NaN
1681600800,2.000e-01,NaN
1681600860,2.000e-01,NaN
1681600920,2.000e-01,NaN
1681600980,2.000e-01,NaN
1681601040,2.000e-01,NaN
1681601280,NaN,2.000e-01
1681601340,NaN,2.000e-01
1681601400,NaN,2.000e-01
1681601460,NaN,2.000e-01
1681601520,NaN,2.000e-01
1681601580,NaN,2.000e-01
1681601640,NaN,2.000e-01
1681601820,2.000e-01,NaN
1681601880,2.000e-01,NaN
1681601940,2.000e-01,NaN
1681602000,2.000e-01,NaN
1681602060,2.000e-01,NaN
1681602120,2.000e-01,NaN
1681602180,2.000e-01,NaN
1681602240,2.000e-01,NaN
1681602480,NaN,2.000e-01
1681602540,NaN,2.000e-01
1681602600,NaN,2.000e-01
1681602660,NaN,2.000e-01
1681602720,NaN,2.000e-01
1681602780,NaN,2.000e-01
1681602840,NaN,2.000e-01
1681603080,2.000e-01,NaN
1681603140,2.000e-01,NaN
1681603200,2.000e-01,NaN
1681603260,2.000e-01,NaN
1681603320,2.000e-01,NaN
1681603380,2.000e-01,NaN
1681603440,2.000e-01,NaN
1681603680,NaN,2.000e-01
1681603740,NaN,2.000e-01
1681603800,NaN,2.000e-01
1681603860,NaN,2.000e-01
1681603920,NaN,2.000e-01
1681603980,NaN,2.000e-01
1681604040,NaN,2.000e-01
1681604280,2.000e-01,NaN
1681604340,2.000e-01,NaN
1681604400,2.000e-01,NaN
1681604460,2.000e-01,NaN
1681604520,2.000e-01,NaN
1681604580,2.000e-01,NaN
1681604640,2.000e-01,NaN
1681604820,NaN,2.000e-01
1681604880,NaN,2.000e-01
1681604940,NaN,2.000e-01
1681605000,NaN,2.000e-01
1681605060,NaN,2.000e-01
1681605120,NaN,2.000e-01
1681605180,NaN,2.000e-01
1681605240,NaN,2.000e-01
1681605480,2.000e-01,NaN
1681605540,2.000e-01,NaN
1681605600,2.000e-01,NaN
1681605660,2.000e-01,NaN
1681605720,2.000e-01,NaN
1681605780,2.000e-01,NaN
1681605840,2.000e-01,NaN
1681606080,NaN,2.000e-01
1681606140,NaN,2.000e-01
1681606200,NaN,2.000e-01
1681606260,NaN,2.000e-01
1681606320,NaN,2.000e-01
1681606380,NaN,2.000e-01
1681606440,NaN,2.000e-01
1681606680,2.000e-01,NaN
1681606740,2.000e-01,NaN
1681606800,2.000e-01,NaN
1681606860,2.000e-01,NaN
1681606920,2.000e-01,NaN
1681606980,2.000e-01,NaN
1681607040,2.000e-01,NaN
1681607280,NaN,2.000e-01
1681607340,NaN,2.000e-01
1681607400,NaN,2.000e-01
1681607460,NaN,2.000e-01
1681607520,NaN,2.000e-01
1681607580,NaN,2.000e-01
1681607640,NaN,2.000e-01
1681607880,2.000e-01,NaN
1681607940,2.000e-01,NaN
1681608000,2.000e-01,NaN
1681608060,2.000e-01,NaN
1681608120,2.000e-01,NaN
1681608180,2.000e-01,NaN
1681608240,2.000e-01,NaN
1681608480,NaN,2.000e-01
1681608540,NaN,2.000e-01
1681608600,NaN,2.000e-01
1681608660,NaN,2.000e-01
1681608720,NaN,2.000e-01
1681608780,NaN,2.000e-01
1681608840,NaN,2.000e-01
1681609080,2.000e-01,NaN
1681609140,2.000e-01,NaN
1681609200,2.000e-01,NaN
1681609260,2.000e-01,NaN
1681609320,4.150e-01,NaN
1681609380,4.630e-01,NaN
1681609440,4.820e-01,NaN
1681609680,NaN,2.000e-01
1681609740,NaN,2.000e-01
1681609800,NaN,2.000e-01
1681609860,NaN,2.000e-01
1681609920,NaN,2.000e-01
1681609980,NaN,2.000e-01
1681610040,NaN,2.000e-01
1681610280,4.430e-01,NaN
1681610340,2.000e-01,NaN
1681610400,2.000e-01,NaN
1681610460,2.000e-01,NaN
1681610520,2.000e-01,NaN
1681610580,2.000e-01,NaN
1681610880,NaN,2.000e-01
1681610940,NaN,2.000e-01
1681611000,NaN,2.000e-01
1681611060,NaN,2.000e-01
1681611120,NaN,2.000e-01
1681611180,NaN,2.000e-01
1681611240,NaN,2.000e-01
1681611480,2.000e-01,NaN
1681611540,2.000e-01,NaN
1681611600,2.000e-01,NaN
1681611660,2.000e-01,NaN
1681611720,2.000e-01,NaN
1681611780,2.000e-01,NaN
1681611840,2.000e-01,NaN
1681612080,NaN,2.000e-01
1681612140,NaN,2.000e-01
1681612200,NaN,2.000e-01
1681612260,NaN,2.000e-01
1681612320,NaN,2.000e-01
1681612380,NaN,2.000e-01
1681612440,NaN,2.000e-01
1681612680,2.000e-01,NaN
1681612740,2.000e-01,NaN
1681612800,2.000e-01,NaN
1681612860,2.000e-01,NaN
1681612920,2.000e-01,NaN
1681612980,2.000e-01,NaN
1681613040,2.000e-01,NaN
1681613280,NaN,2.000e-01
1681613340,NaN,2.000e-01
1681613400,NaN,2.000e-01
1681613460,NaN,2.000e-01
1681613520,NaN,2.000e-01
1681613580,NaN,4.320e-01
1681613640,NaN,4.960e-01
1681613880,2.000e-01,NaN
1681613940,2.000e-01,NaN
1681614000,2.000e-01,NaN
1681614060,2.000e-01,NaN
1681614120,2.000e-01,NaN
1681614180,2.000e-01,NaN
