o3,tz=0,v=1.5
time,o3
1681516860,5.866e+01
1681516920,5.907e+01
1681516980,5.984e+01
1681517040,5.916e+01
1681517100,5.852e+01
1681517160,5.792e+01
1681517220,5.743e+01
1681517280,5.701e+01
1681517340,5.740e+01
1681517400,5.769e+01
1681517460,5.761e+01
1681517520,5.703e+01
1681517580,5.717e+01
1681517640,5.710e+01
1681517700,5.628e+01
1681517760,5.438e+01
1681517820,5.437e+01
1681517880,5.809e+01
1681517940,5.819e+01
1681518000,5.888e+01
1681518060,5.913e+01
1681518120,5.819e+01
1681518180,5.860e+01
1681518240,5.829e+01
1681518300,5.843e+01
1681518360,5.864e+01
1681518420,5.841e+01
1681518480,5.768e+01
1681518540,5.806e+01
1681518600,5.831e+01
1681518660,5.824e+01
1681518720,5.826e+01
1681518780,5.767e+01
1681518840,5.690e+01
1681518900,5.482e+01
1681518960,5.425e+01
1681519020,5.572e+01
1681519080,4.971e+01
1681519140,4.675e+01
1681519200,4.950e+01
1681519260,5.596e+01
1681519320,5.664e+01
1681519380,5.597e+01
1681519440,5.664e+01
1681519500,5.595e+01
1681519560,5.616e+01
1681519620,5.642e+01
1681519680,5.600e+01
1681519740,5.748e+01
1681519800,5.807e+01
1681519860,5.718e+01
1681519920,5.699e+01
1681519980,5.666e+01
1681520040,5.605e+01
1681520100,5.602e+01
1681520160,5.559e+01
1681520220,5.588e+01
1681520280,5.582e+01
1681520340,5.597e+01
1681520400,5.635e+01
1681520460,5.600e+01
1681520520,5.666e+01
1681520580,5.757e+01
1681520640,5.693e+01
1681520700,5.577e+01
1681520760,5.536e+01
1681520820,5.479e+01
1681520880,5.452e+01
1681520940,5.495e+01
1681521000,5.478e+01
1681521060,5.462e+01
1681521120,5.413e+01
1681521180,5.489e+01
1681521240,5.584e+01
1681521300,5.598e+01
1681521360,5.638e+01
1681521420,5.519e+01
1681521480,5.445e+01
1681521540,5.296e+01
1681521600,5.220e+01
1681521660,5.293e+01
1681521720,5.241e+01
1681521780,5.239e+01
1681521840,5.240e+01
1681521900,5.284e+01
1681521960,5.353e+01
1681522020,5.433e+01
1681522080,5.406e+01
1681522140,5.376e+01
1681522200,5.406e+01
1681522260,5.388e+01
1681522320,5.299e+01
1681522380,5.194e+01
1681522440,5.281e+01
1681522500,5.296e+01
1681522560,5.364e+01
1681522620,5.342e+01
1681522680,5.348e+01
1681522740,5.290e+01
1681522800,5.278e+01
1681522860,5.281e+01
1681522920,5.275e+01
1681522980,5.307e+01
1681523040,5.256e+01
1681523100,5.236e+01
1681523160,5.321e+01
1681523220,5.333e+01
1681523280,5.318e+01
1681523340,5.322e+01
1681523400,5.308e+01
1681523460,5.383e+01
1681523520,5.427e+01
1681523580,5.331e+01
1681523640,5.314e+01
1681523700,5.303e+01
1681523760,5.276e+01
1681523820,5.306e+01
1681523880,5.224e+01
1681523940,5.218e+01
1681524000,5.270e+01
1681524060,5.273e+01
1681524120,5.300e+01
1681524180,5.195e+01
1681524240,5.059e+01
1681524300,5.084e+01
1681524360,5.145e+01
1681524420,5.115e+01
1681524480,5.096e+01
1681524540,5.059e+01
1681524600,5.043e+01
1681524660,5.056e+01
1681524720,5.006e+01
1681524780,5.119e+01
1681524840,5.133e+01
1681524900,5.121e+01
1681524960,5.081e+01
1681525020,5.046e+01
1681525080,5.048e+01
1681525140,5.014e+01
1681525200,4.953e+01
1681525260,5.040e+01
1681525320,5.047e+01
1681525380,4.978e+01
1681525440,4.935e+01
1681525500,4.982e+01
1681525560,5.001e+01
1681525620,5.042e+01
1681525680,4.973e+01
1681525740,4.882e+01
1681525800,4.733e+01
1681525860,4.675e+01
1681525920,4.700e+01
1681525980,4.611e+01
1681526040,4.617e+01
1681526100,4.675e+01
1681526160,4.664e+01
1681526220,4.693e+01
1681526280,4.680e+01
1681526340,4.699e+01
1681526400,4.691e+01
1681526460,4.611e+01
1681526520,4.575e+01
1681526580,4.582e+01
1681526640,4.582e+01
1681526700,4.569e+01
1681526760,4.604e+01
1681526820,4.671e+01
1681526880,4.658e+01
1681526940,4.708e+01
1681527000,4.800e+01
1681527060,4.783e+01
1681527120,4.755e+01
1681527180,4.749e+01
1681527240,4.858e+01
1681527300,4.813e+01
1681527360,4.899e+01
1681527420,4.916e+01
1681527480,4.884e+01
1681527540,4.955e+01
1681527600,4.906e+01
1681527660,4.865e+01
1681527720,4.838e+01
1681527780,4.771e+01
1681527840,4.759e+01
1681528800,5.138e+01
1681528860,5.059e+01
1681528920,4.997e+01
1681528980,5.003e+01
1681529040,4.976e+01
1681529100,4.986e+01
1681529160,4.967e+01
1681529220,4.970e+01
1681529280,5.038e+01
1681529340,4.968e+01
1681529400,4.987e+01
1681529460,5.022e+01
1681529520,5.013e+01
1681529580,4.979e+01
1681529640,4.950e+01
1681529700,4.960e+01
1681529760,4.987e+01
1681529820,5.049e+01
1681529880,4.986e+01
1681529940,4.986e+01
1681530000,5.000e+01
1681530060,4.890e+01
1681530120,4.977e+01
1681530180,4.889e+01
1681530240,4.856e+01
1681530300,4.963e+01
1681530360,4.945e+01
1681530420,4.840e+01
1681530480,4.824e+01
1681530540,4.883e+01
1681530600,4.853e+01
1681530660,4.890e+01
1681530720,4.857e+01
1681530780,4.813e+01
1681530840,4.813e+01
1681530900,4.800e+01
1681530960,4.821e+01
1681531020,4.822e+01
1681531080,4.843e+01
1681531140,4.821e+01
1681531200,4.759e+01
1681531260,4.760e+01
1681531320,4.708e+01
1681531380,4.694e+01
1681531440,4.702e+01
1681531500,4.667e+01
1681531560,4.711e+01
1681531620,4.671e+01
1681531680,4.610e+01
1681531740,4.641e+01
1681531800,4.565e+01
1681531860,4.606e+01
1681531920,4.598e+01
1681531980,4.526e+01
1681532040,4.559e+01
1681532100,4.524e+01
1681532160,4.555e+01
1681532220,4.489e+01
1681532280,4.408e+01
1681532340,4.391e+01
1681532400,4.322e+01
1681532460,4.296e+01
1681532520,4.304e+01
1681532580,4.248e+01
1681532640,4.125e+01
1681532700,4.212e+01
1681532760,4.210e+01
1681532820,4.186e+01
1681532880,4.215e+01
1681532940,4.108e+01
1681533000,4.012e+01
1681533060,4.031e+01
1681533120,4.013e+01
1681533180,4.062e+01
