rd,tz=0,v=1.5
time,radon_B,rd_particle_B,radon_pCi,rd_particle_pCi
1681596000,4.240e+00,1.000e+00,1.146e-01,2.705e-02
1681596600,1.292e+01,1.150e+01,3.492e-01,3.109e-01
1681597200,1.523e+01,2.500e+00,4.117e-01,6.758e-02
1681597800,1.990e+01,2.000e+00,5.379e-01,2.705e-02
1681598400,1.076e+01,1.000e+00,2.908e-01,2.705e-02
1681599000,1.090e+01,3.501e+00,2.945e-01,9.461e-02
1681599600,8.640e+00,1.000e+00,2.335e-01,2.705e-02
1681600200,1.747e+01,2.000e+00,4.722e-01,2.705e-02
1681600800,2.106e+00,1.000e+00,5.692e-02,2.705e-02
1681601400,1.206e+01,7.501e+00,3.260e-01,2.027e-01
1681602000,1.071e+01,3.501e+00,2.894e-01,9.461e-02
1681602600,2.006e+01,1.000e+00,5.421e-01,2.705e-02
1681603200,1.000e+00,1.000e+00,2.705e-02,2.705e-02
1681603800,8.640e+00,8.001e+00,2.335e-01,2.162e-01
1681604400,4.306e+00,4.001e+00,1.164e-01,1.081e-01
1681605000,2.241e+01,1.000e+00,6.058e-01,2.705e-02
1681605600,4.281e+01,1.000e+00,1.157e+00,2.705e-02
1681606200,1.517e+01,5.001e+00,4.101e-01,1.352e-01
1681606800,1.293e+01,1.000e+00,3.495e-01,2.705e-02
1681607400,1.523e+01,7.501e+00,4.117e-01,2.027e-01
1681608000,1.000e+00,1.200e+01,2.705e-02,3.244e-01
1681608600,1.312e+01,1.000e+00,3.545e-01,2.705e-02
1681609200,8.640e+00,3.000e+00,2.335e-01,8.109e-02
1681609800,1.528e+01,6.989e+00,4.131e-01,1.889e-01
1681610400,1.991e+01,1.000e+00,5.382e-01,2.705e-02
1681611000,6.375e+00,4.001e+00,1.723e-01,1.081e-01
1681611600,2.727e+01,7.501e+00,7.371e-01,2.027e-01
1681612200,8.641e+00,1.000e+00,2.335e-01,2.705e-02
1681612800,1.521e+01,5.001e+00,4.111e-01,1.352e-01
1681613400,3.716e+01,1.500e+01,1.004e+00,4.055e-01
1681614000,3.401e+01,6.001e+00,9.191e-01,1.622e-01
1681614600,4.158e+01,3.501e+00,1.124e+00,9.461e-02
1681615200,2.168e+01,1.000e+00,5.859e-01,2.705e-02
