voc,tz=0,v=3.3
time,ethane,ethene,propane,propene,1_3-butadiene,i-butane,n-butane,acetylene,cyclopentane,i-pentane,n-pentane,n-hexane,isoprene,n-heptane,benzene,n-octane,toluene,ethyl-benzene,m&p-xylene,o-xylene
1681517093,3.584e+00,9.139e-02,1.675e+00,8.000e-03,4.500e-03,3.113e-01,6.983e-01,2.138e-01,5.437e-02,2.598e-01,2.536e-01,1.167e-01,2.638e-02,6.395e-02,6.636e-02,1.100e-01,1.138e-01,1.365e-02,8.379e-02,2.364e-02
1681520693,2.859e+00,9.503e-02,1.270e+00,8.000e-03,4.500e-03,2.450e-01,5.082e-01,2.182e-01,5.021e-02,1.879e-01,1.788e-01,8.332e-02,2.369e-02,4.475e-02,4.711e-02,9.325e-02,9.709e-02,1.112e-02,8.221e-02,2.627e-02
1681524293,1.465e+00,6.881e-02,1.001e+00,8.000e-03,4.500e-03,1.300e-01,3.019e-01,1.951e-01,4.920e-02,1.642e-01,1.615e-01,9.152e-02,2.453e-02,3.248e-02,4.013e-02,5.764e-02,8.391e-02,4.500e-03,3.110e-02,4.500e-03
1681527893,3.520e+00,6.462e-02,3.221e+00,8.000e-03,4.500e-03,4.600e-01,1.192e+00,1.886e-01,8.223e-02,5.366e-01,6.639e-01,3.669e-01,2.760e-02,1.189e-01,6.356e-02,9.082e-02,1.257e-01,1.772e-02,7.106e-02,1.949e-02
1681531493,5.741e+00,6.382e-02,4.669e+00,8.000e-03,4.500e-03,9.121e-01,2.286e+00,1.891e-01,7.571e-02,6.816e-01,7.451e-01,2.133e-01,2.807e-02,8.049e-02,6.474e-02,8.472e-02,1.088e-01,4.500e-03,4.094e-02,4.500e-03
1681535093,4.379e+01,2.065e-01,3.416e+01,4.358e-02,4.500e-03,6.486e+00,1.663e+01,3.210e-01,3.589e-01,5.045e+00,5.777e+00,1.951e+00,2.833e-02,8.185e-01,3.610e-01,3.181e-01,4.337e-01,3.078e-02,2.154e-01,5.856e-02
1681538693,4.479e+01,1.465e-01,2.655e+01,3.811e-02,4.500e-03,4.841e+00,1.146e+01,2.687e-01,2.175e-01,3.351e+00,3.622e+00,1.127e+00,3.211e-02,3.985e-01,1.482e-01,1.934e-01,2.353e-01,1.118e-02,8.167e-02,2.523e-02
1681542293,9.067e+00,5.912e-01,4.831e+00,9.066e-02,4.500e-03,7.969e-01,1.907e+00,2.275e-01,8.013e-02,5.740e-01,6.703e-01,2.730e-01,2.732e-02,1.028e-01,6.063e-02,9.574e-02,1.016e-01,4.500e-03,2.718e-02,4.500e-03
1681545893,1.926e+01,7.157e-02,1.288e+01,8.000e-03,4.500e-03,2.801e+00,7.202e+00,2.118e-01,1.808e-01,2.366e+00,2.640e+00,8.779e-01,2.719e-02,3.693e-01,1.541e-01,1.830e-01,2.076e-01,1.021e-02,1.094e-01,3.008e-02
1681549493,2.233e+01,1.849e-01,1.502e+01,4.156e-02,4.500e-03,2.851e+00,6.994e+00,2.526e-01,1.538e-01,2.061e+00,2.244e+00,7.019e-01,2.849e-02,2.430e-01,1.166e-01,1.426e-01,1.784e-01,1.443e-02,7.968e-02,4.500e-03
